type,instance,num_var,NUM_SHOTS,num_rep,num_steps,compress,runtime,gpu_runtime,gap,best_energy,gnd_energy,success_prob,best_solution
8,precision_3_timepoints_2.coo,48,20,1024,10,true,0.030883660499999986,0.026476575599999996,4.49438202247191,-21.25,-22.25,0.0,-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1
8,precision_3_timepoints_3.coo,72,20,1024,10,true,0.0015581645500000003,0.0006474714999999999,6.7114093959731544,-34.75,-37.25,0.0,-1;1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1
8,precision_3_timepoints_4.coo,96,20,1024,10,true,0.0015254380999999999,0.0004109778,6.937799043062201,-48.625,-52.25,0.0,1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;1
8,precision_3_timepoints_5.coo,120,20,1024,10,true,0.00203648875,0.0007521702999999998,9.479553903345725,-60.875,-67.25,0.0,1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;1;-1;-1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;1;1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;-1
8,precision_3_timepoints_2.coo,48,20,1024,20,true,0.0018622008500000001,0.0009506222,3.932584269662921,-21.375,-22.25,0.0,1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;1
8,precision_3_timepoints_3.coo,72,20,1024,20,true,0.0019927942999999997,0.0009637662999999999,5.033557046979865,-35.375,-37.25,0.0,-1;1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;1;1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;1;-1
8,precision_3_timepoints_4.coo,96,20,1024,20,true,0.0025101327000000002,0.0013035738,6.220095693779904,-49.0,-52.25,0.0,-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1
8,precision_3_timepoints_5.coo,120,20,1024,20,true,0.00266776745,0.0013748805,7.6208178438661704,-62.125,-67.25,0.0,1;-1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1;-1;1;-1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;-1;-1;1;-1
8,precision_3_timepoints_2.coo,48,20,1024,30,true,0.0019081408499999996,0.0009818912,3.3707865168539324,-21.5,-22.25,0.0,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;-1;-1;-1;1
8,precision_3_timepoints_3.coo,72,20,1024,30,true,0.0024195262,0.0013501359000000002,4.3624161073825505,-35.625,-37.25,0.0,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;1;1;-1;1;1;-1;1;-1;-1;1;1
8,precision_3_timepoints_4.coo,96,20,1024,30,true,0.0026599158,0.0015008538499999998,6.4593301435406705,-48.875,-52.25,0.0,-1;1;1;-1;1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;-1;-1;-1;1;-1;1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;1;1;-1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;-1
8,precision_3_timepoints_5.coo,120,20,1024,30,true,0.00306963715,0.0017258451000000002,7.24907063197026,-62.375,-67.25,0.0,1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;1
8,precision_3_timepoints_2.coo,48,20,1024,40,true,0.00273035165,0.0017212252499999997,2.247191011235955,-21.75,-22.25,0.0,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;1
8,precision_3_timepoints_3.coo,72,20,1024,40,true,0.00268312785,0.0016335236999999998,3.691275167785235,-35.875,-37.25,0.0,1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1
8,precision_3_timepoints_4.coo,96,20,1024,40,true,0.0034703123499999987,0.00225423895,5.023923444976076,-49.625,-52.25,0.0,-1;1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;-1
8,precision_3_timepoints_5.coo,120,20,1024,40,true,0.0038227776500000003,0.0025270804000000003,5.5762081784386615,-63.5,-67.25,0.0,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;1;-1;1;-1;1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;-1
8,precision_3_timepoints_2.coo,48,20,1024,50,true,0.0024752533499999996,0.0015158524999999998,1.6853932584269662,-21.875,-22.25,0.0,-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1
8,precision_3_timepoints_3.coo,72,20,1024,50,true,0.0032202040999999995,0.0021043979,4.026845637583892,-35.75,-37.25,0.0,-1;1;1;-1;1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;1;-1;-1
8,precision_3_timepoints_4.coo,96,20,1024,50,true,0.0036846192,0.0024723179000000007,4.784688995215311,-49.75,-52.25,0.0,-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;1;-1;1;1;1;-1;-1
8,precision_3_timepoints_5.coo,120,20,1024,50,true,0.00452052265,0.00292316095,4.089219330855019,-64.5,-67.25,0.0,-1;1;1;-1;1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1
8,precision_3_timepoints_2.coo,48,20,1024,60,true,0.0033447729500000003,0.00239732325,2.247191011235955,-21.75,-22.25,0.0,1;-1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1
8,precision_3_timepoints_3.coo,72,20,1024,60,true,0.0041035787500000006,0.0030053835,3.3557046979865772,-36.0,-37.25,0.0,1;-1;-1;-1;1;-1;-1;1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;1;1;-1;-1;-1;-1;-1;1;-1;1;1
8,precision_3_timepoints_4.coo,96,20,1024,60,true,0.004602824699999999,0.0033070184499999996,4.0669856459330145,-50.125,-52.25,0.0,1;-1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;1;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;1;-1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1
8,precision_3_timepoints_5.coo,120,20,1024,60,true,0.005645847,0.0039991068,4.089219330855019,-64.5,-67.25,0.0,-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;1;-1;1;1;-1;-1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;1
8,precision_3_timepoints_2.coo,48,20,1024,70,true,0.0031955290999999995,0.0021988641,2.247191011235955,-21.75,-22.25,0.0,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;1
8,precision_3_timepoints_3.coo,72,20,1024,70,true,0.00381372125,0.0027336528999999995,3.0201342281879198,-36.125,-37.25,0.0,1;-1;-1;-1;1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;1
8,precision_3_timepoints_4.coo,96,20,1024,70,true,0.0031548904500000004,0.00206352895,4.0669856459330145,-50.125,-52.25,0.0,-1;1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;1
8,precision_3_timepoints_5.coo,120,20,1024,70,true,0.003930066750000001,0.0027394414999999993,3.1598513011152414,-65.125,-67.25,0.0,-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;1;-1;1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1
8,precision_3_timepoints_2.coo,48,20,1024,80,true,0.004940411349999998,0.0038689310000000004,1.6853932584269662,-21.875,-22.25,0.0,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1
8,precision_3_timepoints_3.coo,72,20,1024,80,true,0.00340102475,0.0023689986000000004,2.684563758389262,-36.25,-37.25,0.0,-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;1;-1;1;-1;-1;1;-1
8,precision_3_timepoints_4.coo,96,20,1024,80,true,0.0045473801500000004,0.0033133370499999993,2.8708133971291865,-50.75,-52.25,0.0,1;-1;1;-1;-1;1;-1;1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;1;1;-1;-1;-1
8,precision_3_timepoints_5.coo,120,20,1024,80,true,0.0061618934,0.00470985925,3.903345724907063,-64.625,-67.25,0.0,1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;-1
8,precision_3_timepoints_2.coo,48,20,1024,90,true,0.00361024405,0.0026279462499999994,0.5617977528089888,-22.125,-22.25,0.0,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1
8,precision_3_timepoints_3.coo,72,20,1024,90,true,0.004525640250000001,0.00338920115,2.348993288590604,-36.375,-37.25,0.0,1;-1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;1;1;-1;-1;-1;1;1;-1;1;-1
8,precision_3_timepoints_4.coo,96,20,1024,90,true,0.0047022478,0.0034829649999999998,2.8708133971291865,-50.75,-52.25,0.0,1;-1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;1;-1;1;1;-1;1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1
8,precision_3_timepoints_5.coo,120,20,1024,90,true,0.0039188462,0.0026659454499999994,4.089219330855019,-64.5,-67.25,0.0,-1;1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;1;-1;1;1
8,precision_3_timepoints_2.coo,48,20,1024,100,true,0.006557844950000001,0.0053535714000000015,1.6853932584269662,-21.875,-22.25,0.0,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;1
8,precision_3_timepoints_3.coo,72,20,1024,100,true,0.00408179545,0.00300447515,2.348993288590604,-36.375,-37.25,0.0,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;1
